epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
1,4.03180,0.07903,0.26018,3.62637,0.13060,0.38340,0.05,178.62162
2,3.46743,0.16578,0.42702,3.24907,0.20420,0.49060,0.05,176.70961
3,3.11319,0.23398,0.52182,2.82641,0.28500,0.59660,0.05,176.88395
4,2.84729,0.28699,0.58782,2.58566,0.33960,0.65120,0.05,176.87345
5,2.64868,0.32927,0.63231,2.78871,0.29940,0.61660,0.05,176.77921
6,2.48712,0.36487,0.66841,2.34858,0.38880,0.70260,0.05,176.66112
7,2.35068,0.39868,0.69597,2.30729,0.40000,0.71960,0.05,176.68886
8,2.24835,0.42125,0.71607,2.18796,0.43940,0.72920,0.05,176.82364
9,2.15073,0.44181,0.73528,1.99778,0.47780,0.77360,0.05,176.70568
10,2.07637,0.46081,0.74843,2.13658,0.44500,0.74860,0.05,176.90750
11,2.01413,0.47521,0.76035,2.07469,0.47380,0.76240,0.05,176.72359
12,1.95716,0.48822,0.76894,1.93816,0.49400,0.78580,0.05,176.82485
13,1.91556,0.50008,0.77544,1.79567,0.52360,0.80340,0.05,176.86070
14,1.87975,0.50765,0.78269,1.77306,0.53780,0.80840,0.05,176.84199
15,1.84628,0.51495,0.78802,1.86553,0.51620,0.79620,0.05,176.82936
16,1.81326,0.52372,0.79363,1.66042,0.55280,0.82160,0.05,176.89677
17,1.78172,0.53073,0.79924,1.70053,0.54880,0.81920,0.05,176.80152
18,1.77036,0.53365,0.80071,2.23290,0.46820,0.74980,0.05,176.84882
19,1.74793,0.53913,0.80322,1.90876,0.51340,0.78560,0.05,176.80070
20,1.72637,0.54430,0.80753,1.67683,0.55620,0.82380,0.05,176.85092
21,1.71065,0.54930,0.81141,1.62999,0.56300,0.82840,0.05,176.96025
22,1.69542,0.55167,0.81145,1.66363,0.55880,0.82560,0.05,176.84395
23,1.68364,0.55572,0.81443,1.58406,0.57680,0.83680,0.05,176.93632
24,1.67895,0.55717,0.81446,1.65365,0.55980,0.83400,0.05,177.01231
25,1.66992,0.55935,0.81620,1.54641,0.59060,0.84520,0.05,177.05420
26,1.65412,0.56215,0.81817,1.65682,0.55560,0.82820,0.05,176.93185
27,1.63760,0.56693,0.82157,1.76477,0.55240,0.81760,0.05,176.87583
28,1.63907,0.56762,0.82105,1.41762,0.61360,0.86020,0.05,176.82305
29,1.63148,0.56827,0.82150,1.75911,0.54600,0.80380,0.05,176.80854
30,1.62524,0.57167,0.82348,1.78803,0.54800,0.81240,0.005000000000000001,176.73526
31,1.16865,0.68383,0.88848,0.87037,0.75200,0.93140,0.005000000000000001,176.95047
32,1.06668,0.70854,0.90273,0.84290,0.76400,0.93480,0.005000000000000001,176.86585
33,1.01925,0.72008,0.90830,0.81447,0.77060,0.93720,0.005000000000000001,176.97684
34,0.99401,0.72608,0.91152,0.79136,0.77080,0.94280,0.005000000000000001,176.90066
35,0.97585,0.73105,0.91367,0.78184,0.77260,0.94260,0.005000000000000001,176.92173
36,0.95641,0.73534,0.91612,0.76438,0.78340,0.94440,0.005000000000000001,176.86732
37,0.94132,0.74017,0.91807,0.77528,0.78320,0.94160,0.005000000000000001,176.80672
38,0.92787,0.74287,0.92013,0.77614,0.77840,0.94380,0.005000000000000001,176.81681
39,0.91965,0.74525,0.92060,0.75746,0.78100,0.94580,0.005000000000000001,176.82938
40,0.91236,0.74720,0.92153,0.75221,0.78480,0.94540,0.005000000000000001,176.96827
41,0.89958,0.75115,0.92304,0.76133,0.78040,0.94400,0.005000000000000001,176.84576
42,0.89288,0.75264,0.92420,0.75018,0.78300,0.94640,0.005000000000000001,176.88676
43,0.89457,0.75178,0.92368,0.76482,0.78440,0.94140,0.005000000000000001,177.01507
44,0.87879,0.75607,0.92638,0.74860,0.78700,0.94580,0.005000000000000001,176.99949
45,0.88011,0.75615,0.92548,0.75501,0.78860,0.94640,0.005000000000000001,176.91438
46,0.87787,0.75618,0.92612,0.76850,0.77860,0.94140,0.005000000000000001,176.99617
47,0.87156,0.75726,0.92683,0.75873,0.78580,0.94560,0.005000000000000001,176.87300
48,0.87033,0.75882,0.92631,0.78997,0.77720,0.94140,0.005000000000000001,176.85327
49,0.86489,0.75997,0.92859,0.76246,0.78620,0.94660,0.005000000000000001,176.99622
50,0.86158,0.76086,0.92835,0.76945,0.78120,0.94420,0.005000000000000001,176.81691
51,0.85828,0.76020,0.92880,0.77166,0.78040,0.94840,0.005000000000000001,176.79827
52,0.86497,0.76065,0.92736,0.77585,0.78240,0.94380,0.005000000000000001,176.72919
53,0.85787,0.76205,0.92858,0.77187,0.78180,0.94060,0.005000000000000001,176.86428
54,0.85606,0.76277,0.92887,0.76848,0.78440,0.94520,0.005000000000000001,176.73643
55,0.85403,0.76306,0.92918,0.76886,0.78200,0.94800,0.005000000000000001,176.77675
56,0.85417,0.76331,0.92900,0.77380,0.78460,0.94360,0.005000000000000001,176.80397
57,0.84689,0.76548,0.92968,0.76780,0.78680,0.94500,0.005000000000000001,176.69287
58,0.84429,0.76606,0.93004,0.77389,0.78180,0.94760,0.005000000000000001,176.87874
59,0.84584,0.76500,0.92915,0.78506,0.77920,0.94500,0.005000000000000001,176.81818
60,0.83371,0.76899,0.93085,0.77796,0.77460,0.94920,0.0005000000000000001,176.75842
61,0.69609,0.80572,0.94584,0.63015,0.81680,0.95940,0.0005000000000000001,176.76252
62,0.64926,0.81738,0.95036,0.61603,0.82180,0.95960,0.0005000000000000001,176.80759
63,0.63020,0.82291,0.95240,0.61334,0.82400,0.96000,0.0005000000000000001,176.75088
64,0.62576,0.82425,0.95236,0.60731,0.82800,0.96080,0.0005000000000000001,176.74060
65,0.61208,0.82834,0.95405,0.61169,0.82620,0.96000,0.0005000000000000001,176.78380
66,0.60154,0.83139,0.95482,0.60339,0.82420,0.96040,0.0005000000000000001,176.92514
67,0.59747,0.83239,0.95483,0.60740,0.82660,0.96200,0.0005000000000000001,176.80390
68,0.59487,0.83342,0.95568,0.60203,0.82840,0.96020,0.0005000000000000001,176.75882
69,0.59219,0.83422,0.95497,0.61204,0.82420,0.95960,0.0005000000000000001,176.92062
70,0.58622,0.83649,0.95669,0.60340,0.83000,0.96060,0.0005000000000000001,176.93311
71,0.57751,0.83703,0.95702,0.60557,0.82860,0.96260,0.0005000000000000001,176.87537
72,0.57629,0.83777,0.95682,0.60137,0.82720,0.96080,0.0005000000000000001,176.81717
73,0.57107,0.84039,0.95736,0.59863,0.82620,0.96080,0.0005000000000000001,176.70629
74,0.56789,0.84015,0.95828,0.60225,0.82760,0.96120,0.0005000000000000001,176.79734
75,0.56790,0.84012,0.95734,0.60642,0.82980,0.96020,0.0005000000000000001,176.75408
76,0.55629,0.84393,0.95957,0.61483,0.82660,0.95940,0.0005000000000000001,176.77524
77,0.56049,0.84260,0.95841,0.60476,0.82840,0.95940,0.0005000000000000001,176.87307
78,0.55346,0.84485,0.95936,0.59940,0.83040,0.96040,0.0005000000000000001,176.79516
79,0.55165,0.84374,0.95999,0.60455,0.82400,0.95920,0.0005000000000000001,176.88689
80,0.54962,0.84496,0.95989,0.59964,0.82980,0.96100,0.0005000000000000001,176.88224
81,0.54865,0.84545,0.95949,0.60936,0.82800,0.96080,0.0005000000000000001,176.82341
82,0.54125,0.84707,0.96061,0.60327,0.83040,0.96120,0.0005000000000000001,176.75878
83,0.54047,0.84796,0.96028,0.60601,0.82620,0.96040,0.0005000000000000001,176.95868
84,0.53851,0.84872,0.96105,0.60753,0.82660,0.96120,0.0005000000000000001,176.79816
85,0.53055,0.85126,0.96132,0.61056,0.82160,0.96100,0.0005000000000000001,176.87305
86,0.52926,0.85040,0.96126,0.61084,0.82540,0.96080,0.0005000000000000001,176.69633
87,0.53052,0.85068,0.96139,0.60037,0.82740,0.96080,0.0005000000000000001,177.00627
88,0.52484,0.85286,0.96192,0.60619,0.82500,0.96080,0.0005000000000000001,176.85091
