epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,lr,epoch_time
1,4.10781,0.07126,0.24163,3.64948,0.13820,0.37760,0.1,122.87440
2,3.47497,0.16966,0.42872,3.05152,0.24520,0.54080,0.1,119.86530
3,2.99890,0.26269,0.55107,2.79019,0.30020,0.60740,0.1,119.54408
4,2.61488,0.34499,0.63886,2.40891,0.38980,0.69160,0.1,119.86796
5,2.32560,0.40730,0.69939,2.31955,0.41340,0.70540,0.1,120.07288
6,2.10353,0.45827,0.74157,2.06181,0.48020,0.75640,0.1,119.65126
7,1.92526,0.49853,0.77241,1.72836,0.53780,0.81000,0.1,119.73616
8,1.78234,0.53170,0.79793,1.68763,0.55700,0.81460,0.1,119.75158
9,1.66877,0.55802,0.81550,1.59733,0.56780,0.83100,0.1,119.62142
10,1.57925,0.58001,0.82998,1.48706,0.60000,0.84940,0.1,119.75283
11,1.50374,0.59813,0.84137,1.61559,0.58040,0.83960,0.1,119.65782
12,1.43562,0.61461,0.85197,1.35717,0.63520,0.86600,0.1,119.80356
13,1.39494,0.62350,0.85792,1.31437,0.64280,0.87600,0.1,119.57752
14,1.34291,0.63597,0.86493,1.32716,0.64360,0.87400,0.1,119.59842
15,1.30318,0.64731,0.87145,1.25958,0.66280,0.87940,0.1,119.53704
16,1.27679,0.65382,0.87476,1.17994,0.68180,0.89280,0.1,119.61971
17,1.24713,0.66118,0.87848,1.21016,0.68000,0.89280,0.1,119.73500
18,1.21964,0.66697,0.88220,1.36499,0.64640,0.86680,0.1,119.88888
19,1.19634,0.67155,0.88555,1.19982,0.67500,0.89580,0.1,119.79341
20,1.16937,0.67925,0.88866,1.18594,0.67660,0.89120,0.1,119.70737
21,1.16544,0.68006,0.88975,1.13887,0.69080,0.89900,0.1,119.76262
22,1.13823,0.68782,0.89442,1.18467,0.67900,0.89980,0.1,119.70330
23,1.12774,0.69027,0.89531,1.13574,0.69560,0.89940,0.1,119.77399
24,1.11123,0.69450,0.89652,1.14993,0.68420,0.90140,0.1,119.93355
25,1.09022,0.69895,0.89919,1.08725,0.70400,0.90760,0.1,119.71157
